english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Center is how you update ClawTweaks and reset the device. Remove ClawTweaks first if you meant to remove both.	Über Center aktualisierst du ClawTweaks und setzt das Gerät zurück. Entferne erst ClawTweaks, wenn beides weg soll.	C'est par Center que tu mets ClawTweaks à jour et que tu restaures l'appareil. Supprime ClawTweaks d'abord si tu veux tout enlever.	Center로 ClawTweaks를 업데이트하고 기기를 되돌립니다. 둘 다 지우려면 ClawTweaks를 먼저 제거하세요.	Con Center actualizas ClawTweaks y restauras el dispositivo. Quita antes ClawTweaks si quieres eliminar ambos.	Через Center вы обновляете ClawTweaks и сбрасываете устройство. Сначала удалите ClawTweaks, если хотите удалить оба.	Το Center είναι ο τρόπος να ενημερώνετε το ClawTweaks και να επαναφέρετε τη συσκευή. Αν θέλετε να αφαιρέσετε και τα δύο, αφαιρέστε πρώτα το ClawTweaks.	Center 用来更新 ClawTweaks 和还原设备。如果两个都想删除，请先删除 ClawTweaks。	Center 用來更新 ClawTweaks 和還原裝置。如果兩個都要移除，請先移除 ClawTweaks。	Con Center aggiorni ClawTweaks e ripristini il dispositivo. Rimuovi prima ClawTweaks se vuoi togliere entrambi.	O Center é como você atualiza o ClawTweaks e restaura o dispositivo. Remova o ClawTweaks primeiro se quiser remover os dois.	Center は ClawTweaks の更新とデバイスの復元を行う場所です。両方消したい場合は先に ClawTweaks を削除してください。	Center służy do aktualizacji ClawTweaks i resetu urządzenia. Najpierw usuń ClawTweaks, jeśli chcesz usunąć oba.
Center itself never asks for admin rights.	Center selbst fragt nie nach Adminrechten.	Center lui-même ne demande jamais les droits admin.	Center 자체는 관리자 권한을 요구하지 않습니다.	Center nunca pide permisos de administrador.	Сам Center никогда не запрашивает права администратора.	Το ίδιο το Center δεν ζητά ποτέ δικαιώματα διαχειριστή.	Center 自己从不索取管理员权限。	Center 自己從不索取系統管理員權限。	Center non chiede mai i diritti di amministratore.	O Center nunca pede direitos de administrador.	Center 自体が管理者権限を求めることはありません。	Sam Center nigdy nie prosi o uprawnienia administratora.
Center settings	Center-Einstellungen	Paramètres Center	Center 설정	Ajustes de Center	Настройки Center	Ρυθμίσεις Center	Center 设置	Center 設定	Impostazioni di Center	Configurações do Center	Center 設定	Ustawienia Center
Center start screen	Center-Startseite	Écran d'accueil Center	Center 시작 화면	Pantalla de inicio	Стартовый экран Center	Αρχική οθόνη του Center	Center 起始页	Center 起始畫面	Schermata iniziale di Center	Tela inicial do Center	Center の開始画面	Ekran startowy Center
Centered	Zentriert	Centré	가운데 정렬	Centrado	По центру	Κεντραρισμένο	居中	置中	Centrato	Centralizado	中央	Wyśrodkowane
Certificate already trusted.	Zertifikat ist bereits vertraut.	Certificat déjà approuvé.	인증서가 이미 신뢰됨.	El certificado ya es de confianza.	Сертификат уже доверенный.	Το πιστοποιητικό είναι ήδη έμπιστο.	证书已受信任。	憑證已受信任。	Certificato già attendibile.	Certificado já confiável.	証明書はすでに信頼済みです。	Certyfikat jest już zaufany.
Charge limit off and fan handed back to firmware.	Ladelimit aus, Lüfter zurück an die Firmware.	Limite de charge coupée, ventilateur rendu au firmware.	충전 제한을 끄고 팬을 펌웨어에 넘겼습니다.	Límite de carga apagado y ventilador devuelto al firmware.	Лимит заряда отключён, вентилятор возвращён прошивке.	Το όριο φόρτισης απενεργοποιήθηκε και ο ανεμιστήρας επέστρεψε στο firmware.	充电限制已关闭，风扇已交回固件。	充電限制已關閉，風扇已交回韌體。	Limite di carica disattivato e ventola restituita al firmware.	Limite de carga desligado e ventoinha devolvida ao firmware.	充電制限を解除し、ファンをファームウェアに戻しました。	Limit ładowania wyłączony, wentylator oddany firmware.
Check	Prüfen	Vérifier	확인	Comprobar	Проверить	Έλεγχος	检查	檢查	Verifica	Verificar	確認	Sprawdź
Check hardware controller health	Controller-Zustand prüfen	Vérifier l'état de la manette	컨트롤러 상태 확인	Comprobar el estado del mando	Проверить состояние контроллера	Έλεγχος υγείας υλικού χειριστηρίου	检查硬件手柄状态	檢查硬體控制器狀態	Verifica lo stato del controller	Verificar o estado do controle	ハードウェアコントローラーの状態を確認	Sprawdź stan kontrolera
Check the controller first.	Erst den Controller prüfen.	Vérifiez d'abord la manette.	먼저 컨트롤러를 확인하세요.	Comprueba antes el mando.	Сначала проверьте контроллер.	Ελέγξτε πρώτα το χειριστήριο.	请先检查手柄。	請先檢查控制器。	Verifica prima il controller.	Verifique o controle primeiro.	先にコントローラーを確認してください。	Najpierw sprawdź kontroler.
Checking controller mode…	Controller-Modus wird geprüft…	Vérification du mode manette…	컨트롤러 모드 확인 중…	Comprobando el modo del mando…	Проверка режима контроллера…	Έλεγχος λειτουργίας χειριστηρίου…	正在检查手柄模式…	正在檢查控制器模式…	Verifica della modalità controller…	Verificando o modo do controle…	コントローラーのモードを確認中…	Sprawdzanie trybu kontrolera…
Checking for duplicate helpers…	Suche nach doppelten Helpern…	Recherche de helpers en double…	중복 헬퍼 확인 중…	Buscando helpers duplicados…	Поиск дублирующих помощников…	Έλεγχος για διπλό helper…	正在检查重复的 helper…	正在檢查重複的 helper…	Ricerca di helper duplicati…	Procurando helpers duplicados…	重複ヘルパーを確認中…	Szukanie zdublowanych helperów…
Checking prerequisites…	Voraussetzungen werden geprüft…	Vérification des prérequis…	필수 요소 확인 중…	Comprobando requisitos…	Проверка требований…	Έλεγχος προαπαιτούμενων…	正在检查先决条件…	正在檢查必要條件…	Verifica dei prerequisiti…	Verificando pré-requisitos…	前提条件を確認中…	Sprawdzanie wymagań…
Checking the Game Bar…	Game Bar wird geprüft…	Vérification de la Game Bar…	Game Bar 확인 중…	Comprobando la Game Bar…	Проверка Game Bar…	Έλεγχος του Game Bar…	正在检查 Game Bar…	正在檢查 Game Bar…	Verifica della Game Bar…	Verificando a Game Bar…	Game Bar を確認中…	Sprawdzanie Game Bar…
Checking the controller…	Controller wird geprüft…	Vérification de la manette…	컨트롤러 확인 중…	Comprobando el mando…	Проверка контроллера…	Έλεγχος του χειριστηρίου…	正在检查手柄…	正在檢查控制器…	Verifica del controller…	Verificando o controle…	コントローラーを確認中…	Sprawdzanie kontrolera…
Checking whether the device can be restored.	Prüft, ob sich das Gerät zurücksetzen lässt.	Vérifie si l'appareil peut être restauré.	기기를 되돌릴 수 있는지 확인합니다.	Comprueba si el dispositivo puede restaurarse.	Проверка, можно ли восстановить устройство.	Έλεγχος αν μπορεί να επαναφερθεί η συσκευή.	正在检查设备能否还原。	正在檢查裝置能否還原。	Verifica se il dispositivo può essere ripristinato.	Verificando se o dispositivo pode ser restaurado.	デバイスを復元できるか確認しています。	Sprawdzanie, czy urządzenie można przywrócić.
Checking…	Prüfe…	Vérification…	확인 중…	Comprobando…	Проверка…	Έλεγχος…	检查中…	檢查中…	Verifica…	Verificando…	確認中…	Sprawdzanie…
Choose	Wählen	Choisir	선택	Elegir	Выбрать	Επιλογή	选择	選擇	Scegli	Escolher	選択	Wybierz
Choose cover	Cover wählen	Choisir	커버 선택	Elegir portada	Выбрать обложку	Επιλογή εξωφύλλου	选择封面	選擇封面	Scegli copertina	Escolher capa	カバーを選ぶ	Wybierz okładkę
Choose cover art	Cover wählen	Choisir une jaquette	커버 선택	Elegir portada	Выбрать обложку	Επιλογή εξωφύλλου	选择封面	選擇封面	Scegli la copertina	Escolher a capa	カバーを選ぶ	Wybierz okładkę
Choose cover art…	Cover wählen…	Choisir une jaquette…	커버 선택…	Elegir portada…	Выбрать обложку…	Επιλογή εξωφύλλου…	选择封面…	選擇封面…	Scegli la copertina…	Escolher a capa…	カバーを選ぶ…	Wybierz okładkę…
Choose from installed apps	Aus installierten Apps wählen	Choisir parmi les apps installées	설치된 앱에서 선택	Elegir de las apps instaladas	Выбрать из установленных приложений	Επιλογή από εγκατεστημένες εφαρμογές	从已安装的应用中选择	從已安裝的應用程式中選擇	Scegli tra le app installate	Escolher entre os apps instalados	インストール済みアプリから選ぶ	Wybierz z zainstalowanych aplikacji
Choose how the library starts and looks.	Start und Aussehen der Bibliothek wählen.	Choisir l'ouverture et l'aspect de la bibliothèque.	라이브러리의 시작과 모양을 선택합니다.	Elige cómo se abre y se ve la biblioteca.	Выберите, как библиотека запускается и выглядит.	Επιλέξτε πώς ξεκινά και πώς δείχνει η βιβλιοθήκη.	选择游戏库的启动方式和外观。	選擇遊戲庫的啟動方式和外觀。	Scegli come si apre e come appare la libreria.	Escolha como a biblioteca abre e aparece.	ライブラリの起動方法と見た目を選びます。	Wybierz, jak biblioteka się uruchamia i wygląda.
Choose the language and how the window opens.	Sprache und Fenstermodus wählen.	Choisir la langue et le mode de fenêtre.	언어와 창 모드를 선택합니다.	Elige el idioma y el modo de ventana.	Выберите язык и способ открытия окна.	Επιλέξτε τη γλώσσα και τον τρόπο που ανοίγει το παράθυρο.	选择语言以及窗口的打开方式。	選擇語言以及視窗的開啟方式。	Scegli la lingua e come si apre la finestra.	Escolha o idioma e como a janela abre.	言語とウィンドウの開き方を選びます。	Wybierz język i sposób otwierania okna.
Choose what to add	Wählen, was hinzukommt	Choisir quoi ajouter	추가할 항목 선택	Elige qué añadir	Выберите, что добавить	Επιλέξτε τι θα προσθέσετε	选择要添加的内容	選擇要新增的內容	Scegli cosa aggiungere	Escolha o que adicionar	追加するものを選ぶ	Wybierz, co dodać
Choose what to do next.	Wähle, wie es weitergeht.	Choisissez la suite.	다음에 무엇을 할지 선택하세요.	Elige cómo seguir.	Выберите, что делать дальше.	Επιλέξτε τι θα γίνει μετά.	选择接下来要做什么。	選擇接下來要做什麼。	Scegli cosa fare ora.	Escolha o que fazer agora.	次に行うことを選んでください。	Wybierz, co dalej.
ClawTweaks Center is already installed	ClawTweaks Center ist bereits installiert	ClawTweaks Center est déjà installé	ClawTweaks Center가 이미 설치되어 있습니다	ClawTweaks Center ya está instalado	ClawTweaks Center уже установлен	Το ClawTweaks Center είναι ήδη εγκατεστημένο	ClawTweaks Center 已安装	ClawTweaks Center 已安裝	ClawTweaks Center è già installato	O ClawTweaks Center já está instalado	ClawTweaks Center はすでにインストール済みです	ClawTweaks Center jest już zainstalowany
ClawTweaks Library Overview	ClawTweaks-Bibliothek im Überblick	Aperçu de la bibliothèque ClawTweaks	ClawTweaks 라이브러리 개요	Resumen de la biblioteca ClawTweaks	Обзор библиотеки ClawTweaks	Επισκόπηση βιβλιοθήκης ClawTweaks	ClawTweaks 游戏库总览	ClawTweaks 遊戲庫總覽	Panoramica della libreria ClawTweaks	Visão geral da biblioteca ClawTweaks	ClawTweaks ライブラリ概要	Przegląd biblioteki ClawTweaks
ClawTweaks installed	ClawTweaks installiert	ClawTweaks installé	ClawTweaks 설치됨	ClawTweaks instalado	ClawTweaks установлен	Το ClawTweaks εγκαταστάθηκε	已安装 ClawTweaks	已安裝 ClawTweaks	ClawTweaks installato	ClawTweaks instalado	ClawTweaks をインストールしました	ClawTweaks zainstalowany
ClawTweaks is in your Game Bar.	ClawTweaks ist in deiner Game Bar.	ClawTweaks est dans votre Game Bar.	ClawTweaks가 Game Bar에 있습니다.	ClawTweaks está en tu Game Bar.	ClawTweaks в вашем Game Bar.	Το ClawTweaks είναι στο Game Bar σας.	ClawTweaks 已在你的 Game Bar 中。	ClawTweaks 已在你的 Game Bar 中。	ClawTweaks è nella tua Game Bar.	O ClawTweaks está na sua Game Bar.	ClawTweaks は Game Bar にあります。	ClawTweaks jest w Twoim Game Bar.
